episode,batcher,arrival_rate_rps,max_requests,agent_checkpoint,total_requests,served_requests,dropped_requests,completion_ratio,batches,mean_pending_size,max_pending_size,batch_opportunity_rate,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,prefill_ms,decode_service_ms,transfer_mb,handover_ms,slo_violations,slo_rate,slo_satisfaction,throughput_rps,goodput_rps,mapping_steps,reward,failure_reason,method,eval_seed,episode_local,source_file
1,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,12,1.0,1,0.0,1.0,30092.15655959996,2192.805198666549,2935.354533579404,11768.95805158456,8184.765976658869,31.623046875,863.6625726200089,4,0.3333333333333333,0.6666666666666667,0.398775008904165,0.26585000593611,336,-164.07420497749456,,Ours w/o mobility,7001,1,wo_mobility_evalseed7001_n10.csv
2,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,8,1.625,3,0.5,1.5,21962.27748255698,3621.5419102993474,8120.371587983223,7173.637939147455,11821.160701206334,33.3837890625,564.3379567747842,6,0.5,0.5,0.5463914209048091,0.2731957104524045,224,-127.8320392031863,,Ours w/o mobility,7001,2,wo_mobility_evalseed7001_n10.csv
3,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,9,1.3333333333333333,3,0.2222222222222222,1.3333333333333333,39616.14378130993,4161.6106077628765,8758.16411514738,6318.577674019399,21402.22116969263,31.3388671875,630.4836537447048,4,0.3333333333333333,0.6666666666666667,0.3029068166311873,0.2019378777541249,252,-158.251443186306,,Ours w/o mobility,7001,3,wo_mobility_evalseed7001_n10.csv
4,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,11,1.0909090909090908,2,0.0909090909090909,1.0909090909090908,38753.548496084266,2726.0150045809523,7774.697801478958,4725.747537721843,17338.381382691467,25.634765625,611.551722479915,1,0.0833333333333333,0.9166666666666666,0.309649063522854,0.2838449748959495,308,-130.35549429883002,,Ours w/o mobility,7001,4,wo_mobility_evalseed7001_n10.csv
5,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,11,1.0909090909090908,2,0.0909090909090909,1.0909090909090908,24722.701669477377,2125.1485541905627,3415.549163004176,10537.48158912656,5092.5217584693655,29.689453125,793.6248802575998,4,0.3333333333333333,0.6666666666666667,0.485383845197436,0.323589230131624,308,-134.97830762220414,,Ours w/o mobility,7001,5,wo_mobility_evalseed7001_n10.csv
6,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,11,1.0909090909090908,2,0.0909090909090909,1.0909090909090908,22200.95473297289,1422.0503756207715,2909.914744460157,8192.340943921967,2692.869227638499,32.6455078125,824.2226418142961,4,0.3333333333333333,0.6666666666666667,0.5405172950592788,0.3603448633728525,308,-100.31621097668877,,Ours w/o mobility,7001,6,wo_mobility_evalseed7001_n10.csv
7,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,11,1.0909090909090908,2,0.0909090909090909,1.0909090909090908,22873.207299205664,1829.3101303771573,2788.1795369236543,8181.343410008194,6342.709872216518,25.4501953125,751.7344144029207,3,0.25,0.75,0.5246312789906264,0.3934734592429698,308,-121.45957505168704,,Ours w/o mobility,7001,7,wo_mobility_evalseed7001_n10.csv
8,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,10,1.3,4,0.1,1.2,20693.35912066232,2344.202990052925,5665.484609993924,6353.815774907461,9307.216571162871,27.4541015625,832.0404902678513,2,0.1666666666666666,0.8333333333333334,0.5798961845695704,0.4832468204746419,280,-115.843091068565,,Ours w/o mobility,7001,8,wo_mobility_evalseed7001_n10.csv
9,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,9,1.3333333333333333,4,0.1111111111111111,1.3333333333333333,24766.28982881936,2710.104954869091,5486.656884370131,7733.287245205955,10511.0702451079,29.7041015625,526.9682818181176,5,0.4166666666666667,0.5833333333333333,0.4845295796399899,0.2826422547899941,252,-131.73563271698552,,Ours w/o mobility,7001,9,wo_mobility_evalseed7001_n10.csv
0,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,12,1.0,1,0.0,1.0,30092.15655959996,2192.805198666549,2935.354533579404,11768.95805158456,8184.765976658869,31.623046875,863.6625726200089,4,0.3333333333333333,0.6666666666666667,0.398775008904165,0.26585000593611,336,-164.07420497749456,,Ours w/o mobility,7002,0,wo_mobility_evalseed7002_n10.csv
1,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,8,1.625,3,0.5,1.5,21962.27748255698,3621.5419102993474,8120.371587983223,7173.637939147455,11821.160701206334,33.3837890625,564.3379567747842,6,0.5,0.5,0.5463914209048091,0.2731957104524045,224,-127.8320392031863,,Ours w/o mobility,7002,1,wo_mobility_evalseed7002_n10.csv
2,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,9,1.3333333333333333,3,0.2222222222222222,1.3333333333333333,39616.14378130993,4161.6106077628765,8758.16411514738,6318.577674019399,21402.22116969263,31.3388671875,630.4836537447048,4,0.3333333333333333,0.6666666666666667,0.3029068166311873,0.2019378777541249,252,-158.251443186306,,Ours w/o mobility,7002,2,wo_mobility_evalseed7002_n10.csv
3,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,11,1.0909090909090908,2,0.0909090909090909,1.0909090909090908,38753.548496084266,2726.0150045809523,7774.697801478958,4725.747537721843,17338.381382691467,25.634765625,611.551722479915,1,0.0833333333333333,0.9166666666666666,0.309649063522854,0.2838449748959495,308,-130.35549429883002,,Ours w/o mobility,7002,3,wo_mobility_evalseed7002_n10.csv
4,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,11,1.0909090909090908,2,0.0909090909090909,1.0909090909090908,24722.701669477377,2125.1485541905627,3415.549163004176,10537.48158912656,5092.5217584693655,29.689453125,793.6248802575998,4,0.3333333333333333,0.6666666666666667,0.485383845197436,0.323589230131624,308,-134.97830762220414,,Ours w/o mobility,7002,4,wo_mobility_evalseed7002_n10.csv
5,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,11,1.0909090909090908,2,0.0909090909090909,1.0909090909090908,22200.95473297289,1422.0503756207715,2909.914744460157,8192.340943921967,2692.869227638499,32.6455078125,824.2226418142961,4,0.3333333333333333,0.6666666666666667,0.5405172950592788,0.3603448633728525,308,-100.31621097668877,,Ours w/o mobility,7002,5,wo_mobility_evalseed7002_n10.csv
6,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,11,1.0909090909090908,2,0.0909090909090909,1.0909090909090908,22873.207299205664,1829.3101303771573,2788.1795369236543,8181.343410008194,6342.709872216518,25.4501953125,751.7344144029207,3,0.25,0.75,0.5246312789906264,0.3934734592429698,308,-121.45957505168704,,Ours w/o mobility,7002,6,wo_mobility_evalseed7002_n10.csv
7,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,10,1.3,4,0.1,1.2,20693.35912066232,2344.202990052925,5665.484609993924,6353.815774907461,9307.216571162871,27.4541015625,832.0404902678513,2,0.1666666666666666,0.8333333333333334,0.5798961845695704,0.4832468204746419,280,-115.843091068565,,Ours w/o mobility,7002,7,wo_mobility_evalseed7002_n10.csv
8,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,9,1.3333333333333333,4,0.1111111111111111,1.3333333333333333,24766.28982881936,2710.104954869091,5486.656884370131,7733.287245205955,10511.0702451079,29.7041015625,526.9682818181176,5,0.4166666666666667,0.5833333333333333,0.4845295796399899,0.2826422547899941,252,-131.73563271698552,,Ours w/o mobility,7002,8,wo_mobility_evalseed7002_n10.csv
9,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,9,1.3333333333333333,2,0.3333333333333333,1.3333333333333333,30764.85587211132,3103.11403635382,5895.338718508414,10640.728621967686,10065.15039611938,46.88671875,697.6729538180263,6,0.5,0.5,0.3900554597064806,0.1950277298532403,252,-153.99514417599897,,Ours w/o mobility,7002,9,wo_mobility_evalseed7002_n10.csv
0,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,8,1.625,3,0.5,1.5,21962.27748255698,3621.5419102993474,8120.371587983223,7173.637939147455,11821.160701206334,33.3837890625,564.3379567747842,6,0.5,0.5,0.5463914209048091,0.2731957104524045,224,-127.8320392031863,,Ours w/o mobility,7003,0,wo_mobility_evalseed7003_n10.csv
1,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,9,1.3333333333333333,3,0.2222222222222222,1.3333333333333333,39616.14378130993,4161.6106077628765,8758.16411514738,6318.577674019399,21402.22116969263,31.3388671875,630.4836537447048,4,0.3333333333333333,0.6666666666666667,0.3029068166311873,0.2019378777541249,252,-158.251443186306,,Ours w/o mobility,7003,1,wo_mobility_evalseed7003_n10.csv
2,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,11,1.0909090909090908,2,0.0909090909090909,1.0909090909090908,38753.548496084266,2726.0150045809523,7774.697801478958,4725.747537721843,17338.381382691467,25.634765625,611.551722479915,1,0.0833333333333333,0.9166666666666666,0.309649063522854,0.2838449748959495,308,-130.35549429883002,,Ours w/o mobility,7003,2,wo_mobility_evalseed7003_n10.csv
3,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,11,1.0909090909090908,2,0.0909090909090909,1.0909090909090908,24722.701669477377,2125.1485541905627,3415.549163004176,10537.48158912656,5092.5217584693655,29.689453125,793.6248802575998,4,0.3333333333333333,0.6666666666666667,0.485383845197436,0.323589230131624,308,-134.97830762220414,,Ours w/o mobility,7003,3,wo_mobility_evalseed7003_n10.csv
4,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,11,1.0909090909090908,2,0.0909090909090909,1.0909090909090908,22200.95473297289,1422.0503756207715,2909.914744460157,8192.340943921967,2692.869227638499,32.6455078125,824.2226418142961,4,0.3333333333333333,0.6666666666666667,0.5405172950592788,0.3603448633728525,308,-100.31621097668877,,Ours w/o mobility,7003,4,wo_mobility_evalseed7003_n10.csv
5,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,11,1.0909090909090908,2,0.0909090909090909,1.0909090909090908,22873.207299205664,1829.3101303771573,2788.1795369236543,8181.343410008194,6342.709872216518,25.4501953125,751.7344144029207,3,0.25,0.75,0.5246312789906264,0.3934734592429698,308,-121.45957505168704,,Ours w/o mobility,7003,5,wo_mobility_evalseed7003_n10.csv
6,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,10,1.3,4,0.1,1.2,20693.35912066232,2344.202990052925,5665.484609993924,6353.815774907461,9307.216571162871,27.4541015625,832.0404902678513,2,0.1666666666666666,0.8333333333333334,0.5798961845695704,0.4832468204746419,280,-115.843091068565,,Ours w/o mobility,7003,6,wo_mobility_evalseed7003_n10.csv
7,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,9,1.3333333333333333,4,0.1111111111111111,1.3333333333333333,24766.28982881936,2710.104954869091,5486.656884370131,7733.287245205955,10511.0702451079,29.7041015625,526.9682818181176,5,0.4166666666666667,0.5833333333333333,0.4845295796399899,0.2826422547899941,252,-131.73563271698552,,Ours w/o mobility,7003,7,wo_mobility_evalseed7003_n10.csv
8,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,9,1.3333333333333333,2,0.3333333333333333,1.3333333333333333,30764.85587211132,3103.11403635382,5895.338718508414,10640.728621967686,10065.15039611938,46.88671875,697.6729538180263,6,0.5,0.5,0.3900554597064806,0.1950277298532403,252,-153.99514417599897,,Ours w/o mobility,7003,8,wo_mobility_evalseed7003_n10.csv
9,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,11,1.0909090909090908,2,0.0909090909090909,1.0909090909090908,37577.19639088141,2651.737702437202,6199.586050000341,7575.777152024211,14483.648675014045,30.427734375,778.3637219037022,5,0.4166666666666667,0.5833333333333333,0.3193426107465525,0.1862831896021556,308,-157.52409724499572,,Ours w/o mobility,7003,9,wo_mobility_evalseed7003_n10.csv
