episode_seed,request_id,handover_index,runtime_policy,lead_ms,prefetch_planner_ms,reactive_planner_ms,blocking_planner_ms,predicted_lead_ms,eta_relative_error,eta_error_bound,prediction_correct,had_prefetch_plan,accepted_prefetch,base_migration_ms,hidden_migration_ms,prefetched_mb,useful_prefetch_mb,wasted_prefetch_mb,wrong_anchor_waste_mb,residual_base_ms,delta_sync_ms,delta_tokens,changed_blocks
20010,r0011,0,prefetch,0.0,0.0,63.390792,63.390792,0.0,-0.0695532880740024,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20010,r0012,0,prefetch,0.0,0.0,62.417159,62.417159,0.0,-0.030913433328155715,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20012,r0013,0,prefetch,0.0,0.0,43.882358,43.882358,0.0,0.17214964378998843,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20012,r0014,0,prefetch,14157.144143259997,43.405062,0.0,0.0,14803.178080108884,0.04563306909299608,0.2,1,1,1,2633.4951499964577,1987.461213147566,140.61033330379126,140.61033330379126,0.0,0.0,646.0339368488917,507.12022976834163,210,26
20014,r0022,0,prefetch,13086.98795369727,43.799248,0.0,0.0,12005.219155059483,-0.08265987578388266,0.2,1,1,1,231.6379295993464,231.6379295993464,14.84765625,14.84765625,0.0,0.0,0.0,298.55998711364686,239,14
20014,r0015,0,prefetch,0.0,0.0,43.960815,43.960815,0.0,0.054846471775640115,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20014,r0012,0,prefetch,10978.23275638964,43.690842,0.0,0.0,11568.870720711047,0.05380082363235028,0.2,1,1,1,1190.4694777783761,599.8315134569639,41.828361763001816,41.828361763001816,0.0,0.0,590.6379643214123,268.5604440899949,213,14
20023,r0023,0,prefetch,12388.641986137984,45.912253,0.0,0.0,13235.028300750402,0.06831953942647362,0.2,1,1,1,1957.3160340763568,1110.9297194639366,52.72822737786617,52.72822737786617,0.0,0.0,846.3863146124202,374.3096488282942,194,15
20023,r0015,0,prefetch,6206.839721471362,45.384675,0.0,0.0,5206.37724132503,-0.16118709762802902,0.2,1,1,1,1803.234300170404,1803.234300170404,85.517578125,85.517578125,0.0,0.0,0.0,190.87901322596946,94,15
20023,r0005,0,prefetch,7298.9698054898545,45.308251,45.337178,45.337178,6325.5378862720045,-0.1333656591490065,0.2,0,1,0,1896.7839243275894,0.0,90.0,0.0,90.0,90.0,0.0,0.0,110,15
20025,r0020,0,prefetch,19847.151870685906,46.034771,0.0,0.0,19900.25178954546,0.0026754427640562906,0.2,1,1,1,2048.0524089267997,1994.9524900672477,122.47635841327076,122.47635841327076,0.0,0.0,53.09991885955196,552.425577540944,228,23
20029,r0016,0,prefetch,4375.663240478403,41.278008,0.0,0.0,3642.7878405959973,-0.16748898615019528,0.2,1,1,1,1941.9576143830534,1941.9576143830534,120.90234375,120.90234375,0.0,0.0,0.0,213.5098360346381,106,19
20033,r0000,0,prefetch,23774.21046071391,46.297575,0.0,0.0,24736.274210388645,0.04046669609762707,0.2,1,1,1,407.99380063111505,0.0,0.0,0.0,0.0,0.0,407.99380063111505,148.64320663709452,364,4
