episode,batcher,arrival_rate_rps,max_requests,agent_checkpoint,total_requests,served_requests,dropped_requests,completion_ratio,batches,mean_pending_size,max_pending_size,batch_opportunity_rate,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,prefill_ms,decode_service_ms,transfer_mb,handover_ms,slo_violations,slo_rate,slo_satisfaction,throughput_rps,goodput_rps,mapping_steps,reward,failure_reason
0,sequential_greedy,0.4,12,,12,12,0,1.0,12,1.0,1,0.0,1.0,47985.89512723434,2427.8149408920494,4758.352969977302,10113.874143699059,14608.270371122162,48.8583984375,678.1611844505651,3,0.25,0.75,0.25007348447251143,0.18755511335438357,336,-171.5301353785336,
1,sequential_greedy,0.4,12,,12,12,0,1.0,9,1.3333333333333333,3,0.2222222222222222,1.3333333333333333,19457.4018625127,2744.245509036655,5605.951270861264,6393.690733690701,9364.169926158487,26.3173828125,509.9351478357448,7,0.5833333333333334,0.41666666666666663,0.6167318784282095,0.25697161601175394,252,-115.48356312522407,
2,sequential_greedy,0.4,12,,12,12,0,1.0,8,1.5,4,0.25,1.5,26844.773039569307,3719.1848037111354,5579.596494735319,9834.21985934296,12742.188973533008,72.7822265625,701.07982052658,7,0.5833333333333334,0.41666666666666663,0.44701439577499685,0.18625599823958203,224,-164.51003168908966,
3,sequential_greedy,0.4,12,,12,12,0,1.0,9,1.3333333333333333,3,0.2222222222222222,1.3333333333333333,24418.885642736514,3325.707145832054,6513.746336330238,5737.958474552806,16111.049353894687,28.0693359375,576.9559195812446,2,0.16666666666666666,0.8333333333333334,0.4914229164904355,0.40951909707536294,252,-132.99915464512767,
4,sequential_greedy,0.4,12,,12,12,0,1.0,10,1.2,2,0.2,1.2,36566.11963801232,4175.615685207893,8259.447938223317,7681.034849685524,20680.472926210274,77.3056640625,510.56332744382763,5,0.4166666666666667,0.5833333333333333,0.32817263955799664,0.1914340397421647,280,-165.53549906931713,
5,sequential_greedy,0.4,12,,12,12,0,1.0,6,2.0,4,0.5,2.0,24310.625484285923,5280.980038463698,11775.779324620442,5901.81393254615,13672.446961218073,44.3115234375,401.49941395278597,7,0.5833333333333334,0.41666666666666663,0.49361132266039986,0.20567138444183328,168,-128.4164699359357,
6,sequential_greedy,0.4,12,,12,12,0,1.0,8,1.5,3,0.375,1.5,24099.443463456442,3541.725367161002,5919.830472388464,7145.70718298523,11889.240407816287,46.9541015625,478.2919956985199,7,0.5833333333333334,0.41666666666666663,0.4979368099597977,0.20747367081658238,224,-130.8595492007532,
7,sequential_greedy,0.4,12,,12,12,0,1.0,5,2.6,6,0.6,2.4,28182.41036270521,9052.129355570165,14149.845797231708,8895.157487338745,19074.270188413808,137.89453125,212.98268695265992,9,0.75,0.25,0.4257975043852186,0.10644937609630464,140,-162.75701882487346,
8,sequential_greedy,0.4,12,,12,12,0,1.0,10,1.2,2,0.2,1.2,31895.470186955197,2443.5152403173784,5581.558945135066,8563.251638576145,11824.189638941109,27.0322265625,646.1861533731584,5,0.4166666666666667,0.5833333333333333,0.3762289732573948,0.21946690106681363,280,-153.09797121434488,
9,sequential_greedy,0.4,12,,12,12,0,1.0,11,1.0909090909090908,2,0.09090909090909091,1.0909090909090908,32435.642702280024,2401.943156860824,4884.519419507976,9490.640686403021,10147.632845670196,85.86328125,629.9834915428968,8,0.6666666666666666,0.33333333333333337,0.36996337979627814,0.12332112659875938,308,-147.68300106757192,
