episode,batcher,arrival_rate_rps,max_requests,agent_checkpoint,total_requests,served_requests,dropped_requests,completion_ratio,batches,mean_pending_size,max_pending_size,batch_opportunity_rate,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,prefill_ms,decode_service_ms,transfer_mb,handover_ms,slo_violations,slo_rate,slo_satisfaction,throughput_rps,goodput_rps,mapping_steps,reward,failure_reason
0,node_conditioned_dp,0.3,12,outputs/train_online_ddqn_cpu_300_analytic_seed17/agent_ep100.pt,12,12,0,1.0,12,1.0,1,0.0,1.0,63137.63529052427,1618.2290422908425,3132.3479245698077,10206.93454066974,5809.475214326603,25.2041015625,726.5120028667731,1,0.08333333333333333,0.9166666666666666,0.19006096672424738,0.1742225528305601,336,-131.0677446454278,
1,node_conditioned_dp,0.3,12,outputs/train_online_ddqn_cpu_300_analytic_seed17/agent_ep100.pt,12,12,0,1.0,7,1.7142857142857142,5,0.2857142857142857,1.7142857142857142,24203.228903415056,3129.1945159297743,5920.699373070736,4639.77341834677,9982.734213321339,24.6298828125,413.3730764247318,6,0.5,0.5,0.49580161588716,0.24790080794358,196,-102.14833746144029,
2,node_conditioned_dp,0.3,12,outputs/train_online_ddqn_cpu_300_analytic_seed17/agent_ep100.pt,12,12,0,1.0,10,1.2,2,0.2,1.2,32018.805711535315,1799.9294080669554,2872.800353571276,9817.202616066645,5967.0431744547,38.6806640625,843.6509929557081,4,0.3333333333333333,0.6666666666666667,0.37477975000412955,0.24985316666941967,280,-129.1921989670764,
3,node_conditioned_dp,0.3,12,outputs/train_online_ddqn_cpu_300_analytic_seed17/agent_ep100.pt,12,12,0,1.0,12,1.0,1,0.0,1.0,32681.90145555043,1778.3875352763534,3020.0859853011366,7384.831077654742,11476.492614240324,29.3291015625,786.224066075339,0,0.0,1.0,0.36717569864534355,0.36717569864534355,336,-131.87448990053431,
4,node_conditioned_dp,0.3,12,outputs/train_online_ddqn_cpu_300_analytic_seed17/agent_ep100.pt,12,12,0,1.0,12,1.0,1,0.0,1.0,38319.82318512703,1665.5878878634528,4046.8506422783184,8549.674316818733,10532.566499714658,24.3017578125,657.306935996922,1,0.08333333333333333,0.9166666666666666,0.3131538457791613,0.28705769196423114,336,-140.27494351473263,
5,node_conditioned_dp,0.3,12,outputs/train_online_ddqn_cpu_300_analytic_seed17/agent_ep100.pt,12,12,0,1.0,11,1.0909090909090908,2,0.09090909090909091,1.0909090909090908,32093.790130345238,2686.790806605381,6520.736421671751,7223.156121910097,14635.923551376663,32.9970703125,742.5107562704626,5,0.4166666666666667,0.5833333333333333,0.3739041089027933,0.2181107301932961,308,-152.98046962598144,
6,node_conditioned_dp,0.3,12,outputs/train_online_ddqn_cpu_300_analytic_seed17/agent_ep100.pt,12,12,0,1.0,10,1.2,2,0.2,1.2,26441.742006590488,2020.8451272128784,3519.8613417100514,8158.086545614905,5586.879295050123,32.1591796875,545.8140369459641,8,0.6666666666666666,0.33333333333333337,0.45382789065141976,0.15127596355047324,280,-118.48325912865127,
7,node_conditioned_dp,0.3,12,outputs/train_online_ddqn_cpu_300_analytic_seed17/agent_ep100.pt,12,12,0,1.0,10,1.2,2,0.2,1.2,26768.078348566713,2793.339753076325,5222.7136386625625,11184.047772563814,8956.414887027107,37.6875,444.45392874061764,6,0.5,0.5,0.44829516126407093,0.22414758063203546,280,-164.84807425769293,
8,node_conditioned_dp,0.3,12,outputs/train_online_ddqn_cpu_300_analytic_seed17/agent_ep100.pt,12,12,0,1.0,11,1.0909090909090908,2,0.09090909090909091,1.0909090909090908,39174.88833747324,1963.6981088859927,2910.4548238330335,10416.3882427689,6802.041541582098,32.7919921875,774.3896941022526,4,0.3333333333333333,0.6666666666666667,0.3063186778383551,0.20421245189223672,308,-145.83507255899627,
9,node_conditioned_dp,0.3,12,outputs/train_online_ddqn_cpu_300_analytic_seed17/agent_ep100.pt,12,12,0,1.0,11,1.0909090909090908,2,0.09090909090909091,1.0909090909090908,41961.10321200661,2340.376291191666,5039.871491965459,8105.198641675411,10598.1175473327,27.3046875,668.6626439425144,2,0.16666666666666666,0.8333333333333334,0.2859791349948674,0.23831594582905613,308,-138.80789944784064,
