episode,episode_seed,arrival_rate_rps,method,mobility_prior_beta,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,replan_events,replanned_blocks,mapping_steps,reward,failure_reason
0,20007,0.4,full,0.0,driving,stateful_keep,0.0,12,0,1.0,9,1.3333333333333333,56444.26586637169,6788.628312527412,11229.321079116866,0.75,0.21259909781463468,0.159449323360976,1,1,1.0,0.0,99.16122964288661,0.0,99.16122964288661,99.16122964288661,0.0,0.0,0.0,0,0,252,-280.50317248323245,
1,20008,0.4,full,0.0,driving,stateful_keep,0.0,12,0,1.0,5,2.4,34387.731052679235,10620.957479285791,18095.698124622064,0.08333333333333337,0.34896166838157966,0.029080139031798305,2,2,0.0,0.0,-311.7031017107365,0.0,-155.85155085536826,-155.85155085536826,0.0,0.0,0.0,0,0,140,-171.7032998970899,
2,20009,0.4,full,0.0,driving,stateful_keep,0.0,12,0,1.0,5,2.4,38355.67227711681,10375.225534520921,19926.343849112654,0.33333333333333337,0.3128611568401386,0.1042870522800462,2,2,1.0,0.0,-348.1307815545042,0.0,-174.0653907772521,-174.0653907772521,0.0,0.0,0.0,0,0,140,-163.26042746120385,
3,20010,0.4,full,0.0,driving,stateful_keep,0.0,12,0,1.0,5,2.4,47376.387368131924,16699.51370035765,27776.307698493838,0.6666666666666667,0.2532907354618577,0.16886049030790515,6,6,0.6666666666666666,0.0,-378.715334430839,0.0,-63.11922240513983,-63.11922240513983,0.0,0.0,0.0,0,0,140,-222.12433544134296,
4,20011,0.4,full,0.0,driving,stateful_keep,0.0,12,0,1.0,5,2.4,47948.79121142469,13305.99042538876,22621.615898707503,0.5,0.250266997286488,0.125133498643244,4,4,0.5,0.0,206.11928867277675,0.0,51.52982216819419,51.52982216819419,0.0,0.0,0.0,0,0,140,-222.81690152861756,
5,20012,0.4,full,0.0,driving,stateful_keep,0.0,12,0,1.0,4,3.0,80272.08274337911,29343.64380512701,53912.39499372826,0.0,0.1494915740303221,0.0,4,2,0.0,0.0,1670.229651989801,0.0,417.55741299745023,835.1148259949005,0.0,0.0,0.0,0,0,112,-246.57485915927748,
6,20013,0.4,full,0.0,driving,stateful_keep,0.0,12,0,1.0,4,3.0,38836.17744683113,14396.498531428573,22111.27817888938,0.16666666666666663,0.3089902454078716,0.05149837423464527,2,2,1.0,0.0,-410.59958292863666,0.0,-205.29979146431833,-205.29979146431833,0.0,0.0,0.0,0,0,112,-180.55906212965027,
7,20014,0.4,full,0.0,driving,stateful_keep,0.0,12,0,1.0,3,4.0,64357.53143029417,31197.80074689067,59179.815448546375,0.08333333333333337,0.18645836366482196,0.015538196972068496,8,7,0.0,0.0,-1804.2660610058447,0.0,-225.53325762573058,-257.7522944294064,0.0,0.0,0.0,0,0,84,-286.5997796872743,
8,20015,0.4,full,0.0,driving,stateful_keep,0.0,12,0,1.0,8,1.5,46321.14527205609,7520.254416774587,14864.137267546703,0.5833333333333333,0.2590609521746686,0.1511188887685567,1,1,1.0,0.0,1148.5960255260215,0.0,1148.5960255260215,1148.5960255260215,0.0,0.0,0.0,0,0,224,-215.0792899540079,
9,20016,0.4,full,0.0,driving,stateful_keep,0.0,12,0,1.0,7,1.7142857142857142,45085.08977577098,9317.557563841654,16243.742008445643,0.75,0.26616338261011685,0.19962253695758767,3,3,1.0,0.0,132.67903891155947,0.0,44.226346303853155,44.226346303853155,0.0,0.0,0.0,0,0,196,-224.77040107996112,
10,20017,0.4,full,0.0,driving,stateful_keep,0.0,12,0,1.0,8,1.5,42927.52864628292,8723.737981762904,16407.137446498404,0.8333333333333334,0.27954090017336874,0.23295075014447397,2,2,1.0,0.0,702.263955704977,0.0,351.1319778524885,351.1319778524885,0.0,0.0,0.0,0,0,224,-215.42439084058293,
11,20018,0.4,full,0.0,driving,stateful_keep,0.0,12,0,1.0,7,1.7142857142857142,34372.05107159043,9078.603227828873,18215.829563648917,0.75,0.34912085912494095,0.26184064434370574,2,2,1.0,0.0,-107.19746917466546,0.0,-53.59873458733273,-53.59873458733273,0.0,0.0,0.0,0,0,196,-201.32156027358315,
12,20019,0.4,full,0.0,driving,stateful_keep,0.0,12,0,1.0,6,2.0,45439.59020255423,9387.030066469255,21298.4065424147,0.5,0.26408688869129504,0.13204344434564752,3,3,1.0,0.0,384.4814437777095,0.0,128.1604812592365,128.1604812592365,0.0,0.0,0.0,0,0,168,-246.4301010684681,
13,20020,0.4,full,0.0,driving,stateful_keep,0.0,12,0,1.0,7,1.7142857142857142,41021.53431732031,8360.504890321698,14518.410100027382,0.75,0.29252928247818616,0.2193969618586396,2,2,0.5,0.0,819.0426872060416,0.0,409.5213436030208,409.5213436030208,0.0,0.0,0.0,0,0,196,-201.4426051260893,
14,20021,0.4,full,0.0,driving,stateful_keep,0.0,12,0,1.0,6,2.0,51907.97396569781,13503.660215831142,22807.690805821323,0.5,0.2311783543686356,0.1155891771843178,3,3,1.0,0.0,1187.1666017873467,0.0,395.7222005957822,395.7222005957822,0.0,0.0,0.0,0,0,168,-256.2960322229022,
15,20022,0.4,full,0.0,driving,stateful_keep,0.0,12,0,1.0,5,2.4,47438.39901161443,14091.645136553698,26094.156917475808,0.0,0.25295963291387674,0.0,2,2,0.0,0.0,-194.0301916850476,0.0,-97.0150958425238,-97.0150958425238,0.0,0.0,0.0,0,0,140,-210.20533774522835,
16,20023,0.4,full,0.0,driving,stateful_keep,0.0,12,0,1.0,3,4.0,70825.26636065808,34363.432607433555,60003.28692319948,0.08333333333333337,0.16943106064569274,0.014119255053807728,8,5,0.2,0.0,256.14447897463833,0.0,32.01805987182979,51.228895794927666,0.0,0.0,0.0,0,0,84,-307.9887618593742,
17,20024,0.4,full,0.0,driving,stateful_keep,0.0,12,0,1.0,4,3.0,44024.302089543766,18410.538726798834,28782.21539651591,0.16666666666666663,0.2725767230924514,0.0454294538487419,4,4,0.5,0.0,1372.80286861282,0.0,343.200717153205,343.200717153205,0.0,0.0,0.0,0,0,112,-226.30568465601527,
18,20025,0.4,full,0.0,driving,stateful_keep,0.0,12,0,1.0,5,2.4,72661.47516005399,20303.023222947206,48960.76964204468,0.0,0.16514941340740985,0.0,4,3,0.0,0.0,-1124.9040333193989,0.0,-281.2260083298497,-374.9680111064663,0.0,0.0,0.0,0,0,140,-264.45125876295606,
