episode,batcher,arrival_rate_rps,max_requests,agent_checkpoint,total_requests,served_requests,dropped_requests,completion_ratio,batches,mean_pending_size,max_pending_size,batch_opportunity_rate,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,prefill_ms,decode_service_ms,transfer_mb,handover_ms,slo_violations,slo_rate,slo_satisfaction,throughput_rps,goodput_rps,mapping_steps,reward,failure_reason
0,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep250.pt,12,12,0,1.0,9,1.5555555555555556,4,0.3333333333333333,1.3333333333333333,36052.2976598045,5181.411602972291,9086.75251302467,9578.911575878452,21076.68435865125,40.693359375,393.8671163425541,6,0.5,0.5,0.3328497981802437,0.16642489909012184,252,-196.07526690383608,
1,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep250.pt,12,12,0,1.0,12,1.0,1,0.0,1.0,28672.297467230317,1653.9755106418968,2421.0259193956613,10309.523420467487,5725.581027049483,25.1982421875,863.6625726200089,5,0.4166666666666667,0.5833333333333333,0.4185224436135558,0.24413809210790755,336,-141.04232503607238,
2,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep250.pt,12,12,0,1.0,9,1.3333333333333333,3,0.2222222222222222,1.3333333333333333,26674.435464342365,3212.4731117781307,5869.9475341895795,11173.262678373669,10374.439334717721,86.5107421875,611.0452959184747,10,0.8333333333333334,0.16666666666666663,0.4498689397210022,0.07497815662016703,252,-154.70815441423775,
3,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep250.pt,12,12,0,1.0,7,2.142857142857143,5,0.42857142857142855,1.7142857142857142,36044.76253438286,6594.162994718686,14956.24688214585,6630.344296481055,22963.33134723424,36.7705078125,474.5305089844759,6,0.5,0.5,0.332919380133335,0.1664596900666675,196,-163.27036615672515,
4,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep250.pt,12,12,0,1.0,12,1.0,1,0.0,1.0,35613.75704101847,1233.373329188147,2421.1493703098186,5302.461196639892,7579.519865587245,27.28125,630.0986388813785,1,0.08333333333333333,0.9166666666666666,0.3369484434393959,0.3088694064861129,336,-92.09395317000234,
5,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep250.pt,12,12,0,1.0,10,1.2,3,0.1,1.2,23322.586792089114,2626.268740395824,4405.427839259493,9697.663076215094,9958.697958491528,32.9443359375,687.4232893775365,4,0.3333333333333333,0.6666666666666667,0.5145226859685362,0.3430151239790242,280,-148.0177808824048,
6,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep250.pt,12,12,0,1.0,10,1.2,2,0.2,1.2,23330.393006546634,1578.4040776146096,2439.52260661514,8198.253491843832,4711.286357736411,32.8974609375,883.0421003440234,3,0.25,0.75,0.5143505296560044,0.38576289724200324,280,-105.16923802514447,
7,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep250.pt,12,12,0,1.0,5,2.4,5,0.6,2.4,33202.68051747278,9451.785974044467,13445.708222334933,13629.659058372916,19266.33816012818,158.9853515625,306.6832989716846,12,1.0,0.0,0.36141660290605293,0.0,140,-206.4753507958329,
8,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep250.pt,12,12,0,1.0,9,1.3333333333333333,3,0.2222222222222222,1.3333333333333333,21402.877061027182,2204.803842213579,3567.5269812380084,7649.998591105744,5480.938006070143,38.4404296875,709.0640379772103,5,0.4166666666666667,0.5833333333333333,0.5606722855896312,0.3270588332606182,252,-111.49717774957509,
9,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep250.pt,12,12,0,1.0,8,1.75,4,0.375,1.5,42034.40254304281,7962.9079844627895,21394.18712242563,12054.133084010457,28257.118027008328,85.46484375,488.9318204236141,9,0.75,0.25,0.28548044634896663,0.07137011158724166,224,-213.91485307835373,
