episode,episode_seed,arrival_rate_rps,method,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,mapping_steps,reward,failure_reason
0,28103,0.4,full,high_speed,keep,0.1,12,0,1.0,11,1.0909090909090908,37413.36736984372,2116.4414051919025,5862.03683069786,0.6666666666666667,0.320740976918115,0.21382731794541,1,1,1.0,0.0,12.556732919140822,0.0,12.556732919140822,12.556732919140822,0.0,0.0,0.0,308,-170.93123055122416,
1,28104,0.4,full,high_speed,keep,0.1,12,0,1.0,6,2.0,42378.16797268687,7805.949948069945,16845.797688700313,0.5,0.2831646711989559,0.14158233559947794,7,6,0.3333333333333333,0.0,92.37889413371015,0.0,13.196984876244306,15.396482355618359,0.0,0.0,0.0,168,-147.87349499653408,
2,28105,0.4,full,high_speed,keep,0.1,12,0,1.0,11,1.0909090909090908,30398.713907473306,1233.8193745222097,2000.6013695318381,0.75,0.3947535424204208,0.29606515681531564,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308,-129.08881649093934,
3,28106,0.4,full,high_speed,keep,0.1,12,0,1.0,8,1.5,17398.169391217245,2169.8023344367416,3040.0632688404494,0.41666666666666663,0.6897277368765998,0.28738655703191657,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224,-123.49073557842367,
4,28107,0.4,full,high_speed,keep,0.1,12,0,1.0,11,1.0909090909090908,24793.864055832542,1474.2842047779402,2689.682796654324,0.75,0.48399071532285437,0.36299303649214076,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308,-133.14869118230084,
5,28108,0.4,full,high_speed,keep,0.1,12,0,1.0,10,1.2,31852.567216928495,2128.4402911833727,3981.2041282031564,0.5833333333333333,0.3767357248875824,0.21976250618442308,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280,-153.50119397859814,
6,28109,0.4,full,high_speed,keep,0.1,12,0,1.0,9,1.3333333333333333,24494.86740198724,2669.2170272322314,5737.563730464948,0.5833333333333333,0.4898985490742625,0.28577415362665315,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252,-144.92035818604185,
7,28110,0.4,full,high_speed,keep,0.1,12,0,1.0,11,1.0909090909090908,37575.87884736504,1739.9968962982555,2945.7195706204875,0.75,0.31935380803053354,0.23951535602290014,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308,-153.0204696537751,
8,28111,0.4,full,high_speed,keep,0.1,12,0,1.0,11,1.0909090909090908,45011.28084601663,4460.929145727531,10659.591282587013,0.5833333333333333,0.266599833962778,0.1555165698116205,4,3,0.6666666666666666,0.0,50.79682374764212,0.0,12.69920593691053,16.932274582547375,0.0,0.0,0.0,308,-264.4215577717706,
9,28112,0.4,full,high_speed,keep,0.1,12,0,1.0,10,1.2,29397.066601842136,1609.1564269311068,2236.6439541886543,0.75,0.4082039940423182,0.3061529955317387,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280,-134.97894390848057,
