episode,episode_seed,arrival_rate_rps,method,mobility_prior_beta,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,replan_events,replanned_blocks,mapping_steps,reward,failure_reason
0,20007,0.4,dybap_adapted,0.0,driving,stateful_keep,0.2,12,0,1.0,10,1.2,77952.8170494192,15737.34898660861,28209.720649438892,0.41666666666666663,0.15393927319384038,0.06414136383076682,6,6,0.5,0.0,-129.96181915997295,0.0,-21.660303193328826,-21.660303193328826,0.0,0.0,0.0,0,0,280,-426.3494505337873,
1,20008,0.4,dybap_adapted,0.0,driving,stateful_keep,0.2,12,0,1.0,7,1.7142857142857142,29962.034783162577,9838.264383969088,15960.287903349174,0.0,0.4005068443062987,0.0,2,2,0.0,0.0,-85.59509564615655,0.0,-42.797547823078276,-42.797547823078276,0.0,0.0,0.0,0,0,195,-202.64380887967127,
2,20009,0.4,dybap_adapted,0.0,driving,stateful_keep,0.2,12,0,1.0,8,1.5,52778.06881482276,17761.551274833742,30249.65205928422,0.16666666666666663,0.22736716726228132,0.037894527877046884,5,5,0.2,0.0,-244.73732021540854,0.0,-48.94746404308171,-48.94746404308171,0.0,0.0,0.0,0,0,224,-278.78427547662767,
3,20010,0.4,dybap_adapted,0.0,driving,stateful_keep,0.2,12,0,1.0,6,2.0,48333.436470071894,22383.698029562147,33031.626257256445,0.5833333333333333,0.248275332283282,0.14482727716524782,8,8,0.5,0.0,-1012.6390723057048,0.0,-126.5798840382131,-126.5798840382131,0.0,0.0,0.0,0,0,168,-258.4550695757203,
4,20011,0.4,dybap_adapted,0.0,driving,stateful_keep,0.2,12,0,1.0,6,2.0,73396.76333623035,37603.06456016031,56204.22264017691,0.16666666666666663,0.16349494793153257,0.027249157988588762,9,6,0.16666666666666666,0.0,1395.7253201422136,0.0,155.08059112691262,232.62088669036893,0.0,0.0,0.0,0,0,168,-382.5752121703431,
5,20012,0.4,dybap_adapted,0.0,driving,stateful_keep,0.2,12,0,1.0,10,1.2,40569.41079849911,11256.807791842708,21183.04070063271,0.25,0.2957893586279036,0.0739473396569759,2,2,0.0,0.0,-84.11541875360854,0.0,-42.05770937680427,-42.05770937680427,0.0,0.0,0.0,0,0,280,-261.59351004333837,
6,20013,0.4,dybap_adapted,0.0,driving,stateful_keep,0.2,12,0,1.0,6,2.0,43367.91975629536,14213.49716871663,24121.461063254297,0.33333333333333337,0.2767022275320932,0.09223407584403107,2,2,0.5,0.0,-214.80875923551685,0.0,-107.40437961775842,-107.40437961775842,0.0,0.0,0.0,0,0,168,-248.7852231890368,
7,20014,0.4,dybap_adapted,0.0,driving,stateful_keep,0.2,12,0,1.0,4,3.0,50029.32991936318,19068.09431930408,44080.01985197574,0.16666666666666663,0.2398592989220821,0.03997654982034702,6,4,0.0,0.0,-124.97837804769006,0.0,-20.82972967461501,-31.244594511922514,0.0,0.0,0.0,0,0,112,-228.89896415608553,
8,20015,0.4,dybap_adapted,0.0,driving,stateful_keep,0.2,12,0,1.0,7,1.7142857142857142,73702.86158061161,25808.702880172437,44836.138346462096,0.16666666666666663,0.16281593065250452,0.027135988442084088,9,6,0.0,0.0,1292.878303812784,0.0,143.6531448680871,215.47971730213067,0.0,0.0,0.0,0,0,196,-414.64333574859774,
9,20016,0.4,dybap_adapted,0.0,driving,stateful_keep,0.2,12,0,1.0,6,2.0,73761.95770364496,30390.52740785442,48829.28808859673,0.08333333333333337,0.16268548684963952,0.013557123904136627,10,9,0.0,0.0,617.1944279980671,0.0,61.719442799806714,68.57715866645191,0.0,0.0,0.0,0,0,168,-370.9008802676186,
10,20017,0.4,dybap_adapted,0.0,driving,stateful_keep,0.2,12,0,1.0,7,1.7142857142857142,56045.90182204096,22494.902129055074,35980.570196099856,0.08333333333333337,0.21411021341226424,0.017842517784355354,5,5,0.0,0.0,2528.8468751270193,0.0,505.76937502540386,505.76937502540386,0.0,0.0,0.0,0,0,196,-294.96996675391813,
11,20018,0.4,dybap_adapted,0.0,driving,stateful_keep,0.2,12,0,1.0,7,1.7142857142857142,60639.82598906734,21941.920942557354,44351.09175187142,0.16666666666666663,0.19788974991721547,0.03298162498620258,6,5,0.0,0.0,1084.266302564858,0.0,180.71105042747635,216.85326051297162,0.0,0.0,0.0,0,0,196,-310.4037816104845,
12,20019,0.4,dybap_adapted,0.0,driving,stateful_keep,0.2,12,0,1.0,8,1.5,71827.27815227762,25203.140391370078,42215.92155867595,0.16666666666666663,0.16706744719686256,0.027844574532810428,5,5,0.0,0.0,-491.54795609004395,0.0,-98.30959121800879,-98.30959121800879,0.0,0.0,0.0,0,0,224,-405.43752948913254,
13,20020,0.4,dybap_adapted,0.0,driving,stateful_keep,0.2,12,0,1.0,8,1.5,56730.21868497399,15137.201265488884,25696.15019590443,0.5,0.21152747650483522,0.10576373825241761,5,5,0.6,0.0,1597.8888168068552,0.0,319.577763361371,319.577763361371,0.0,0.0,0.0,0,0,224,-264.06506832646744,
14,20021,0.4,dybap_adapted,0.0,driving,stateful_keep,0.2,12,0,1.0,7,1.7142857142857142,62357.45176614934,19685.6579902201,32247.804545068862,0.5,0.19243890922614937,0.09621945461307468,4,4,0.5,0.0,-199.04176441516756,0.0,-49.76044110379189,-49.76044110379189,0.0,0.0,0.0,0,0,196,-299.2582757490098,
15,20022,0.4,dybap_adapted,0.0,driving,stateful_keep,0.2,12,0,1.0,10,1.2,44751.901487510106,9075.522578655331,17307.1970608532,0.41666666666666663,0.26814503073906487,0.11172709614127703,2,2,0.0,0.0,-40.56198360372582,0.0,-20.28099180186291,-20.28099180186291,0.0,0.0,0.0,0,0,280,-268.66837758544256,
16,20023,0.4,dybap_adapted,0.0,driving,stateful_keep,0.2,12,0,1.0,7,1.7142857142857142,96049.72532973523,33026.21028363484,65967.44770200312,0.16666666666666663,0.12493528699644309,0.020822547832740516,7,4,0.0,0.0,897.2084473331124,0.0,128.17263533330177,224.3021118332781,0.0,0.0,0.0,0,0,196,-515.8330260515916,
17,20024,0.4,dybap_adapted,0.0,driving,stateful_keep,0.2,12,0,1.0,4,3.0,49827.18644071345,23973.67132843303,37149.97563887511,0.08333333333333337,0.2408323820225756,0.020069365168547966,3,3,0.3333333333333333,0.0,131.52309217609945,0.0,43.84103072536649,43.84103072536649,0.0,0.0,0.0,0,0,112,-247.45216313496965,
18,20025,0.4,dybap_adapted,0.0,driving,stateful_keep,0.2,12,0,1.0,9,1.3333333333333333,71728.43835346236,17466.327889290536,48372.82566236099,0.25,0.1672976615058392,0.0418244153764598,2,2,0.0,0.0,-401.66556813337957,0.0,-200.83278406668978,-200.83278406668978,0.0,0.0,0.0,0,0,251,-403.6590908703157,
19,20026,0.4,dybap_adapted,0.0,driving,stateful_keep,0.2,12,0,1.0,8,1.5,59938.67976461227,18172.628758399554,29627.983069917034,0.25,0.20020460989674294,0.050051152474185734,5,5,0.4,0.0,-354.64260215593094,0.0,-70.92852043118619,-70.92852043118619,0.0,0.0,0.0,0,0,224,-320.4588528106972,
20,20027,0.4,dybap_adapted,0.0,driving,stateful_keep,0.2,12,0,1.0,6,2.0,89383.09882482138,36672.14003345399,65135.53860019,0.25,0.13425356871457717,0.03356339217864429,13,8,0.0,0.0,2812.0297967227016,0.0,216.30998436328474,351.5037245903377,0.0,0.0,0.0,0,0,168,-450.372483375471,
21,20028,0.4,dybap_adapted,0.0,driving,stateful_keep,0.2,12,0,1.0,6,2.0,71740.78069657454,26464.490945499758,47249.361847211345,0.16666666666666663,0.16726887947809818,0.02787814657968303,8,6,0.0,0.0,2068.2918119703972,0.0,258.53647649629966,344.7153019950662,0.0,0.0,0.0,0,0,168,-373.70899864185515,
22,20029,0.4,dybap_adapted,0.0,driving,stateful_keep,0.2,12,0,1.0,9,1.3333333333333333,80750.85191683273,25365.02695159016,54247.41023491892,0.25,0.1486052433522199,0.03715131083805497,6,5,0.2,0.0,2014.0820903644963,0.0,335.6803483940827,402.81641807289924,0.0,0.0,0.0,0,0,252,-458.94815853283615,
23,20030,0.4,dybap_adapted,0.0,driving,stateful_keep,0.2,12,0,1.0,7,1.7142857142857142,46623.41107648888,12857.555305302929,21716.549700451455,0.41666666666666663,0.2573814254026412,0.10724226058443384,5,5,0.4,0.0,501.2322694462,0.0,100.24645388924,100.24645388924,0.0,0.0,0.0,0,0,196,-245.58133106093607,
24,20031,0.4,dybap_adapted,0.0,driving,stateful_keep,0.2,12,0,1.0,6,2.0,39132.6231573624,11824.3659113948,22559.977728167327,0.5833333333333333,0.30664951725175427,0.1788788850635233,3,3,0.6666666666666666,0.0,1466.2748517452237,0.0,488.75828391507457,488.75828391507457,0.0,0.0,0.0,0,0,168,-201.03133399696515,
25,20032,0.4,dybap_adapted,0.0,driving,stateful_keep,0.2,12,0,1.0,8,1.5,85775.6867597793,27940.16907823038,46615.87085757745,0.16666666666666663,0.1398997834153963,0.023316630569232714,4,3,0.0,0.0,53.55664640531177,0.0,13.389161601327942,17.852215468437254,0.0,0.0,0.0,0,0,224,-478.0388876362847,
26,20033,0.4,dybap_adapted,0.0,driving,stateful_keep,0.2,12,0,1.0,9,1.3333333333333333,47878.34532946036,12442.88999494225,20513.02312075514,0.5833333333333333,0.2506352280436099,0.14620388302543907,2,2,1.0,0.0,-1663.8385213600195,0.0,-831.9192606800098,-831.9192606800098,0.0,0.0,0.0,0,0,252,-275.2640100507657,
27,20034,0.4,dybap_adapted,0.0,driving,stateful_keep,0.2,12,0,1.0,9,1.3333333333333333,104323.87638954393,27567.56270930004,64168.13939620288,0.08333333333333337,0.11502640062177295,0.009585533385147746,5,3,0.0,0.0,-1000.7229461704919,0.0,-200.1445892340984,-333.574315390164,0.0,0.0,0.0,0,0,252,-580.8754050514993,
28,20035,0.4,dybap_adapted,0.0,driving,stateful_keep,0.2,12,0,1.0,6,2.0,39477.11298683477,14865.956041332014,24488.444100181554,0.25,0.3039735961442237,0.07599339903605593,2,1,0.0,0.0,-558.7104091895162,0.0,-279.3552045947581,-558.7104091895162,0.0,0.0,0.0,0,0,168,-220.4802012953691,
29,20036,0.4,dybap_adapted,0.0,driving,stateful_keep,0.2,12,0,1.0,7,1.7142857142857142,44223.0705050933,15133.437796479564,21198.438901277328,0.41666666666666663,0.27135157877872645,0.11306315782446935,4,4,0.5,0.0,-263.0793745312003,0.0,-65.76984363280008,-65.76984363280008,0.0,0.0,0.0,0,0,196,-249.2212511729611,
30,20037,0.4,dybap_adapted,0.0,driving,stateful_keep,0.2,12,0,1.0,7,1.7142857142857142,25153.1516289742,5761.786101608171,8858.432180230055,0.41666666666666663,0.4770773928058011,0.19878224700241712,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,196,-184.16935141576363,
