episode,batcher,arrival_rate_rps,max_requests,agent_checkpoint,total_requests,served_requests,dropped_requests,completion_ratio,batches,mean_pending_size,max_pending_size,batch_opportunity_rate,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,prefill_ms,decode_service_ms,transfer_mb,handover_ms,slo_violations,slo_rate,slo_satisfaction,throughput_rps,goodput_rps,mapping_steps,reward,failure_reason
0,node_conditioned_dp,0.6,12,,12,12,0,1.0,11,1.0909090909090908,2,0.09090909090909091,1.0909090909090908,32580.313011686572,2688.4489950673,4993.003853101475,9732.329795598069,13897.649836200659,44.5517578125,584.3992743527347,4,0.3333333333333333,0.6666666666666667,0.368320586597667,0.24554705773177798,308,-165.35206955448763,
1,node_conditioned_dp,0.6,12,,12,12,0,1.0,6,2.0,4,0.5,2.0,14061.270294553447,3228.606799364917,5923.37555423754,5558.878667726556,8082.967933898135,31.904296875,419.42369292875725,10,0.8333333333333334,0.16666666666666663,0.8534079602074168,0.14223466003456947,168,-96.97768759295377,
2,node_conditioned_dp,0.6,12,,12,12,0,1.0,7,2.2857142857142856,6,0.42857142857142855,1.7142857142857142,20902.042993059273,4877.802276463657,7669.447457577381,8199.786290247897,12104.759586904027,56.0361328125,597.4971159073483,9,0.75,0.25,0.574106560013522,0.1435266400033805,196,-150.66499989689487,
3,node_conditioned_dp,0.6,12,,12,12,0,1.0,7,1.7142857142857142,6,0.14285714285714285,1.7142857142857142,18413.087120358494,4482.675889521671,8262.960734448518,5103.499885903764,12396.405862749953,30.8876953125,437.43034720824403,5,0.4166666666666667,0.5833333333333333,0.6517103797728822,0.38016438820084797,196,-110.70665148055063,
4,node_conditioned_dp,0.6,12,,12,12,0,1.0,8,1.625,3,0.375,1.5,27765.096216876183,4918.589706821953,10125.19924274179,7416.955359719472,18765.658788400928,83.4638671875,459.1644388408608,8,0.6666666666666666,0.33333333333333337,0.4321973137159942,0.14406577123866474,224,-144.79762679930545,
5,node_conditioned_dp,0.6,12,,12,12,0,1.0,4,3.75,7,0.75,3.0,18380.946005314083,6840.247920794326,13678.838752511829,4760.117649872516,13388.820158208262,42.638671875,232.00819723330312,11,0.9166666666666666,0.08333333333333337,0.6528499673809336,0.054404163948411126,111,-119.2665225690297,
6,node_conditioned_dp,0.6,12,,12,12,0,1.0,6,2.1666666666666665,5,0.5,2.0,19817.5407766356,4370.922525955023,7230.154494481021,6675.897596579857,11237.747629319148,53.7802734375,363.73245655326275,9,0.75,0.25,0.6055241735214547,0.15138104338036368,168,-122.59187003428228,
7,node_conditioned_dp,0.6,12,,12,12,0,1.0,4,3.25,9,0.5,3.0,29964.134332632835,12660.892742747807,17613.330936701834,9491.204922143179,20266.920014714757,167.6865234375,206.00939577489982,10,0.8333333333333334,0.16666666666666663,0.4004787812919141,0.06674646354865235,112,-159.95791774898888,
8,node_conditioned_dp,0.6,12,,12,12,0,1.0,9,1.3333333333333333,2,0.3333333333333333,1.3333333333333333,22553.65813989567,2733.636147530418,5879.937129964395,8070.497601856751,11569.027963678638,27.908203125,594.6812482551924,5,0.4166666666666667,0.5833333333333333,0.5320644626945432,0.31037093657181686,252,-138.41151578289634,
9,node_conditioned_dp,0.6,12,,12,12,0,1.0,10,1.2,2,0.2,1.2,21865.360998836695,2352.415894899209,4253.668031581735,8597.100230640144,8480.519842555677,72.046875,587.7955404788983,9,0.75,0.25,0.548813257674476,0.137203314418619,280,-134.2007987348097,
10,node_conditioned_dp,0.6,12,,12,12,0,1.0,10,1.2,2,0.2,1.2,23291.43916843461,1526.1404248348042,3295.119398240892,5563.829858634452,5897.556318358454,22.0400390625,655.6700163559996,2,0.16666666666666666,0.8333333333333334,0.5152107567600559,0.4293422973000465,280,-86.48716465052019,
11,node_conditioned_dp,0.6,12,,12,12,0,1.0,7,2.2857142857142856,6,0.42857142857142855,1.7142857142857142,35298.88609363986,9652.1951505992,21145.68267068803,10121.339075330747,21767.77369067837,77.2587890625,498.4193494754527,6,0.5,0.5,0.3399540701699976,0.1699770350849988,196,-181.8769316100817,
12,node_conditioned_dp,0.6,12,,12,12,0,1.0,8,1.5,3,0.375,1.5,21449.36407373188,3190.2496622959793,4635.048529157814,9106.84057035303,7555.692770404006,50.0009765625,384.53083970070765,8,0.6666666666666666,0.33333333333333337,0.5594571456174725,0.1864857152058242,224,-133.82827419242676,
13,node_conditioned_dp,0.6,12,,12,12,0,1.0,8,1.625,4,0.375,1.5,33274.68404974499,6596.937515964957,13868.327993072113,9402.55251529766,20294.20016563217,102.64453125,400.3923818469185,6,0.5,0.5,0.3606345287023684,0.1803172643511842,224,-189.21889954323925,
