episode_seed,mapping_id,now_ms,node_id,group_size,proposal_weight,base_weight,baseline_batch_size,baseline_ids,result_ids,result_matches_baseline,proposal_exists,proposal_changed,risk_reducing,baseline_risk,proposal_risk,risk_reduction,baseline_utility,proposal_weighted_utility,proposal_reference_utility,absolute_utility_regret,relative_utility_regret,risk_reduction_per_regret,proposal_ids,selected_action
20007,0,0.0,edge_5,1,1.0,0.003,1,r0004,r0004,1,1,0,0,0.039823165509092734,0.039823165509092734,0.0,-0.4912829402470624,-0.5309866362596278,-0.49128294024706237,-5.551115123125783e-17,-1.1299222237055838e-16,,r0004,0
20007,0,0.0,cloud_0,1,1.0,0.003,1,r0004,r0004,1,1,0,0,0.031346301924011,0.031346301924011,0.0,-0.20543575471100783,-0.23668801772924677,-0.2054357547110078,-2.7755575615628914e-17,-1.3510586633117225e-16,,r0004,1
20007,0,0.0,edge_5,2,1.0,0.003,1,r0004,r0004,1,1,0,0,0.0624569137202424,0.0624569137202424,0.0,-0.4925611563474851,-0.5548306993265668,-0.49256115634748515,5.551115123125783e-17,1.1269900298856818e-16,,r0004,0
20007,0,0.0,cloud_0,2,1.0,0.003,1,r0004,r0004,1,1,0,0,0.05189757167219033,0.05189757167219033,0.0,-0.20549740852025233,-0.2572392874774261,-0.20549740852025233,0.0,0.0,,r0004,0
20007,0,0.0,edge_5,4,1.0,0.003,1,r0004,r0004,1,1,0,0,0.10772441014254175,0.10772441014254175,0.0,-0.4951175885483303,-0.6025188254604444,-0.4951175885483303,0.0,0.0,,r0004,0
20007,0,0.0,cloud_0,4,1.0,0.003,1,r0004,r0004,1,1,0,0,0.09300011116854899,0.09300011116854899,0.0,-0.20562071613874144,-0.29834182697378475,-0.2056207161387414,-5.551115123125783e-17,-2.699686698581576e-16,,r0004,0
20007,0,0.0,edge_5,8,1.0,0.003,1,r0004,r0004,1,1,0,0,0.1982594029871404,0.1982594029871404,0.0,-0.5002304529500209,-0.6978950777281998,-0.5002304529500208,-1.1102230246251565e-16,-2.2194231040469688e-16,,r0004,0
20007,0,0.0,cloud_0,8,1.0,0.003,1,r0004,r0004,1,1,0,0,0.17520519016126632,0.17520519016126632,0.0,-0.20586733137571955,-0.3805469059665021,-0.20586733137571958,2.7755575615628914e-17,1.3482263276135547e-16,,r0004,0
20007,1,4593.257290052205,edge_5,1,1.0,0.003,2,r0000|r0007,r0000|r0007,1,1,0,0,0.04075020745369708,0.04075020745369708,0.0,5.8756135822399695,5.834985625408634,5.8756135822399695,0.0,0.0,,r0000|r0007,0
20007,1,4593.257290052205,cloud_0,1,1.0,0.003,2,r0000|r0007,r0000|r0007,1,1,0,0,0.021010430191149728,0.021010430191149728,0.0,6.016986580876147,5.996039181975571,6.016986580876147,0.0,0.0,,r0000|r0007,1
