episode,batcher,arrival_rate_rps,max_requests,agent_checkpoint,total_requests,served_requests,dropped_requests,completion_ratio,batches,mean_pending_size,max_pending_size,p95_pending_size,frac_pending_ge_16,frac_pending_ge_24,batch_opportunity_rate,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,prefill_ms,decode_service_ms,transfer_mb,handover_ms,slo_violations,slo_rate,slo_satisfaction,throughput_rps,goodput_rps,mapping_steps,reward,failure_reason
0,node_conditioned_dp,0.7,16,outputs/train_online_ddqn_cpu_300_analytic/agent_ep150.pt,16,16,0,1.0,6,3.0,5,5.0,0.0,0.0,0.6666666666666666,2.6666666666666665,29093.05895716686,8248.943672627249,17054.394335145815,7608.694327839737,21113.2626106724,39.6328125,371.1020186547252,12,0.75,0.25,0.5499593570946419,0.13748983927366049,168,-161.00013451008616,
