episode,episode_seed,arrival_rate_rps,method,mobility_prior_beta,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,mapping_steps,reward,failure_reason
0,20007,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,9,1.3333333333333333,56456.65411517279,6781.925391805737,11194.37070513146,0.75,0.21255244732569065,0.15941433549426798,6,5,1.0,0.0,81.03693199461225,0.0,13.506155332435375,16.20738639892245,0.0,0.0,0.0,252,-290.54087419592645,
1,20008,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,8,1.5,22077.553482406867,3706.624649140957,6816.394893752544,0.41666666666666663,0.5435384862531324,0.22647436927213851,1,1,1.0,0.0,12.0,0.0,12.0,12.0,0.0,0.0,0.0,224,-154.20536769647845,
2,20009,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,5,2.4,38674.423297868256,10397.953441732026,20057.28390166694,0.33333333333333337,0.31028258411448484,0.10342752803816162,8,7,0.5714285714285714,0.0,99.75862190671923,0.0,12.469827738339903,14.25123170095989,0.0,0.0,0.0,140,-169.19541727652765,
3,20010,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,5,2.4,47261.79487567645,16937.673593516654,27965.913516758494,0.6666666666666667,0.25390487245705234,0.16926991497136823,14,8,0.75,0.0,178.1578016932705,0.0,12.725557263805035,22.269725211658812,0.0,0.0,0.0,140,-226.90550731664717,
4,20011,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,5,2.4,48953.69191772202,13506.038915372243,23405.605880084662,0.5,0.2451296220960979,0.12256481104804895,12,9,0.5555555555555556,0.0,149.63738739540682,0.0,12.469782282950568,16.626376377267423,0.0,0.0,0.0,140,-230.00896015036952,
5,20012,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,6,2.0,33264.79066041962,8572.7311041453,14515.265095221303,0.25,0.3607417861877092,0.0901854465469273,5,5,0.4,0.0,62.74336442624154,0.0,12.548672885248308,12.548672885248308,0.0,0.0,0.0,168,-185.1080987888073,
6,20013,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,4,3.0,38324.983962899816,14117.342866478903,21733.616461356793,0.16666666666666663,0.3131116770098717,0.05218527950164529,8,7,0.2857142857142857,0.0,99.19384442943439,0.0,12.399230553679299,14.170549204204914,0.0,0.0,0.0,112,-183.4651863089527,
7,20014,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,5,2.4,37054.502128862965,11956.599351694074,24304.482518161283,0.5,0.3238472873894805,0.16192364369474024,5,4,0.75,0.0,63.11784913107097,0.0,12.623569826214194,15.779462282767742,0.0,0.0,0.0,140,-188.85855450904572,
8,20015,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,8,1.5,46654.09046254226,7564.347183667686,15028.644736057497,0.5833333333333333,0.25721217327416523,0.1500404344099297,7,5,0.6,0.0,89.89738521611815,0.0,12.842483602302593,17.979477043223632,0.0,0.0,0.0,224,-227.51138257781574,
9,20016,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,7,1.7142857142857142,46925.24247635725,9534.751746576256,17294.570000174677,0.75,0.2557259028772428,0.19179442715793207,5,5,1.0,0.0,65.89189694843259,0.0,13.178379389686517,13.178379389686517,0.0,0.0,0.0,196,-238.11805419262313,
